Mean;Mean;
x;y;
[];[];
0;0.61932126;
0.0014285714;0.62374627;
0.0028571429;0.61904666;
0.0042857143;0.62002033;
0.0057142857;0.61360024;
0.0071428571;0.6198223;
0.0085714286;0.61533922;
0.01;0.61733287;
0.011428571;0.61447297;
0.012857143;0.62427606;
0.014285714;0.62207178;
0.015714286;0.61421299;
0.017142857;0.60823367;
0.018571429;0.61188014;
0.02;0.62227004;
0.021428571;0.61667512;
0.022857143;0.6204548;
0.024285714;0.61576091;
0.025714286;0.60549939;
0.027142857;0.60484987;
0.028571429;0.60505114;
0.03;0.60894703;
0.031428571;0.61201248;
0.032857143;0.61293015;
0.034285714;0.61469739;
0.035714286;0.61666063;
0.037142857;0.60847505;
0.038571429;0.60791364;
0.04;0.60645619;
0.041428571;0.60073493;
0.042857143;0.60867167;
0.044285714;0.6040917;
0.045714286;0.61088807;
0.047142857;0.60893562;
0.048571429;0.60951532;
0.05;0.60698324;
0.051428571;0.61101351;
0.052857143;0.60558465;
0.054285714;0.60632743;
0.055714286;0.61006048;
0.057142857;0.60567314;
0.058571429;0.60747954;
0.06;0.61147384;
0.061428571;0.60885597;
0.062857143;0.60656272;
0.064285714;0.60098166;
0.065714286;0.60236578;
0.067142857;0.60320479;
0.068571429;0.60055329;
0.07;0.60591985;
0.071428571;0.60565408;
0.072857143;0.59844816;
0.074285714;0.60644751;
0.075714286;0.59859294;
0.077142857;0.60684845;
0.078571429;0.60180042;
0.08;0.5963787;
0.081428571;0.59692583;
0.082857143;0.60476621;
0.084285714;0.59827306;
0.085714286;0.60533456;
0.087142857;0.61085496;
0.088571429;0.60054731;
0.09;0.60669544;
0.091428571;0.60129681;
0.092857143;0.60787958;
0.094285714;0.60513436;
0.095714286;0.59977832;
0.097142857;0.59748829;
0.098571429;0.60505946;
0.1;0.59997482;
0.10142857;0.59969027;
0.10285714;0.6020897;
0.10428571;0.60051488;
0.10571429;0.59898303;
0.10714286;0.60126285;
0.10857143;0.59670092;
0.11;0.59697202;
0.11142857;0.59824718;
0.11285714;0.59513672;
0.11428571;0.59993206;
0.11571429;0.60775356;
