Mean;Mean;
x;y;
[];[];
0;0.35087352;
0.0014277066;0.34721499;
0.0028554131;0.3467097;
0.0042831197;0.35395458;
0.0057108263;0.34687976;
0.0071385329;0.31677772;
0.0085662394;0.29673013;
0.009993946;0.33019966;
0.011421653;0.37519955;
0.012849359;0.38337204;
0.014277066;0.3895997;
0.015704772;0.39299999;
0.017132479;0.37974761;
0.018560185;0.37760615;
0.019987892;0.38613856;
0.021415599;0.38753992;
0.022843305;0.38807964;
0.024271012;0.39209619;
0.025698718;0.39303181;
0.027126425;0.38916765;
0.028554131;0.38935527;
0.029981838;0.390355;
0.031409545;0.38655563;
0.032837251;0.39258049;
0.034264958;0.40274753;
0.035692664;0.40843329;
0.037120371;0.41543553;
0.038548077;0.42026649;
0.039975784;0.42131306;
0.041403491;0.42369092;
0.042831197;0.43304786;
0.044258904;0.43873652;
0.04568661;0.43569228;
0.047114317;0.43286296;
0.048542023;0.43551494;
0.04996973;0.4404677;
0.051397437;0.44010398;
0.052825143;0.44263734;
0.05425285;0.4489229;
0.055680556;0.44500311;
0.057108263;0.43826779;
0.058535969;0.44119754;
0.059963676;0.44805032;
0.061391383;0.45140288;
0.062819089;0.45378543;
0.064246796;0.4532366;
0.065674502;0.44945414;
0.067102209;0.4502758;
0.068529915;0.45222224;
0.069957622;0.45316827;
0.071385329;0.45881586;
0.072813035;0.46295355;
0.074240742;0.45594823;
0.075668448;0.4588639;
0.077096155;0.46671995;
0.078523861;0.47022385;
0.079951568;0.4793838;
0.081379275;0.47923525;
0.082806981;0.47810951;
0.084234688;0.48349832;
0.085662394;0.48986687;
0.087090101;0.48704904;
0.088517808;0.48599004;
0.089945514;0.48978547;
0.091373221;0.48223334;
0.092800927;0.48434692;
0.094228634;0.49484989;
0.09565634;0.49500015;
0.097084047;0.49252474;
0.098511754;0.49366151;
0.09993946;0.49529948;
0.10136717;0.48933783;
0.10279487;0.47727294;
0.10422258;0.47796611;
0.10565029;0.45947203;
0.10707799;0.42873415;
0.1085057;0.44945388;
0.10993341;0.49433958;
0.11136111;0.51904987;
0.11278882;0.53014427;
0.11421653;0.53822796;
