Mean;Mean;
x;y;
[];[];
0;0.32837906;
0.00078771761;0.33610194;
0.0015754352;0.34628099;
0.0023631528;0.35275426;
0.0031508705;0.3478853;
0.0039385881;0.34766788;
0.0047263057;0.34873663;
0.0055140233;0.34992776;
0.0063017409;0.34741617;
0.0070894585;0.33769867;
0.0078771761;0.33970464;
0.0086648938;0.33467168;
0.0094526114;0.32993429;
0.010240329;0.32797535;
0.011028047;0.33909776;
0.011815764;0.33589394;
0.012603482;0.33650584;
0.013391199;0.32745813;
0.014178917;0.33900843;
0.014966635;0.34964596;
0.015754352;0.35187279;
0.01654207;0.3494035;
0.017329788;0.34365484;
0.018117505;0.36140113;
0.018905223;0.36246176;
0.01969294;0.3499945;
0.020480658;0.35800273;
0.021268376;0.35873415;
0.022056093;0.36841616;
0.022843811;0.35844545;
0.023631528;0.35413173;
0.024419246;0.35479777;
0.025206964;0.34967282;
0.025994681;0.34595009;
0.026782399;0.35636624;
0.027570117;0.35038793;
0.028357834;0.34524428;
0.029145552;0.34378;
0.029933269;0.34354897;
0.030720987;0.34863838;
0.031508705;0.34821874;
0.032296422;0.3446983;
0.03308414;0.35937196;
0.033871857;0.35033403;
0.034659575;0.33260863;
0.035447293;0.33177495;
0.03623501;0.33726318;
0.037022728;0.33569732;
0.037810446;0.32705719;
0.038598163;0.33997791;
0.039385881;0.34234168;
0.040173598;0.34085174;
0.040961316;0.33560221;
0.041749034;0.32889858;
0.042536751;0.33204916;
0.043324469;0.34020086;
0.044112186;0.32276661;
0.044899904;0.33288978;
0.045687622;0.32184002;
0.046475339;0.33009391;
0.047263057;0.33601732;
0.048050774;0.34653308;
0.048838492;0.33848922;
0.04962621;0.35728675;
0.050413927;0.36508341;
0.051201645;0.35334837;
0.051989363;0.34902057;
0.05277708;0.33912983;
0.053564798;0.33934512;
0.054352515;0.32825322;
0.055140233;0.32988494;
0.055927951;0.33709468;
0.056715668;0.32866153;
0.057503386;0.32447345;
0.058291103;0.32310914;
0.059078821;0.32046088;
0.059866539;0.3195017;
0.060654256;0.31668261;
0.061441974;0.32938086;
0.062229692;0.33797962;
