Mean;Mean;
x;y;
[];[];
0;0.16112263;
0.0014482567;0.15932096;
0.0028965134;0.15855231;
0.00434477;0.1580581;
0.0057930267;0.16133336;
0.0072412834;0.16504921;
0.0086895401;0.16678688;
0.010137797;0.16359105;
0.011586053;0.16190028;
0.01303431;0.15915259;
0.014482567;0.16181569;
0.015930823;0.1643402;
0.01737908;0.1704062;
0.018827337;0.17293402;
0.020275593;0.17347088;
0.02172385;0.17502218;
0.023172107;0.17557541;
0.024620364;0.17487681;
0.02606862;0.17301045;
0.027516877;0.17309668;
0.028965134;0.17352064;
0.03041339;0.17478197;
0.031861647;0.1794889;
0.033309904;0.17843092;
0.03475816;0.17914942;
0.036206417;0.17519483;
0.037654674;0.17463356;
0.03910293;0.17055948;
0.040551187;0.16910144;
0.041999444;0.17159416;
0.0434477;0.17143533;
0.044895957;0.17362378;
0.046344214;0.17594433;
0.04779247;0.17551869;
0.049240727;0.17309771;
0.050688984;0.17701167;
0.05213724;0.17814643;
0.053585497;0.17710613;
0.055033754;0.18080852;
0.05648201;0.17895858;
0.057930267;0.1781463;
0.059378524;0.17400478;
0.06082678;0.1720144;
0.062275037;0.168794;
0.063723294;0.16719263;
0.065171551;0.16777091;
0.066619807;0.17280352;
0.068068064;0.17849807;
0.069516321;0.17790026;
0.070964577;0.17861913;
0.072412834;0.17867119;
0.073861091;0.176181;
0.075309347;0.16941188;
0.076757604;0.16315121;
0.078205861;0.16328236;
0.079654117;0.16547203;
0.081102374;0.16557971;
0.082550631;0.16024074;
0.083998887;0.15540422;
0.085447144;0.15429131;
0.086895401;0.15633319;
0.088343657;0.15817258;
0.089791914;0.16358823;
0.091240171;0.16678482;
0.092688427;0.16461112;
0.094136684;0.15885178;
0.095584941;0.15659993;
0.097033197;0.15685644;
0.098481454;0.16317762;
0.099929711;0.16396979;
0.10137797;0.16304212;
0.10282622;0.16096767;
0.10427448;0.16427235;
0.10572274;0.16412278;
0.10717099;0.16252761;
0.10861925;0.16257805;
0.11006751;0.16087828;
0.11151576;0.15895278;
0.11296402;0.16305823;
0.11441228;0.16508389;
0.11586053;0.16410472;
